word,sentiment,lexicon
abandon,-2,afinn
abandoned,-2,afinn
abandons,-2,afinn
abducted,-2,afinn
abduction,-2,afinn
abductions,-2,afinn
abhor,-3,afinn
abhorred,-3,afinn
abhorrent,-3,afinn
abhors,-3,afinn
abilities,2,afinn
ability,2,afinn
aboard,1,afinn
absentee,-1,afinn
absentees,-1,afinn
absolve,2,afinn
absolved,2,afinn
absolves,2,afinn
absolving,2,afinn
absorbed,1,afinn
abuse,-3,afinn
abused,-3,afinn
abuses,-3,afinn
abusive,-3,afinn
accept,1,afinn
accepted,1,afinn
accepting,1,afinn
accepts,1,afinn
accident,-2,afinn
accidental,-2,afinn
accidentally,-2,afinn
accidents,-2,afinn
accomplish,2,afinn
accomplished,2,afinn
accomplishes,2,afinn
accusation,-2,afinn
accusations,-2,afinn
accuse,-2,afinn
accused,-2,afinn
accuses,-2,afinn
accusing,-2,afinn
ache,-2,afinn
achievable,1,afinn
aching,-2,afinn
acquit,2,afinn
acquits,2,afinn
acquitted,2,afinn
acquitting,2,afinn
acrimonious,-3,afinn
active,1,afinn
adequate,1,afinn
admire,3,afinn
admired,3,afinn
admires,3,afinn
admiring,3,afinn
admit,-1,afinn
admits,-1,afinn
admitted,-1,afinn
admonish,-2,afinn
admonished,-2,afinn
adopt,1,afinn
adopts,1,afinn
adorable,3,afinn
adore,3,afinn
adored,3,afinn
adores,3,afinn
advanced,1,afinn
advantage,2,afinn
advantages,2,afinn
adventure,2,afinn
adventures,2,afinn
adventurous,2,afinn
affected,-1,afinn
affection,3,afinn
affectionate,3,afinn
afflicted,-1,afinn
affronted,-1,afinn
afraid,-2,afinn
aggravate,-2,afinn
aggravated,-2,afinn
aggravates,-2,afinn
aggravating,-2,afinn
aggression,-2,afinn
aggressions,-2,afinn
aggressive,-2,afinn
aghast,-2,afinn
agog,2,afinn
agonise,-3,afinn
agonised,-3,afinn
agonises,-3,afinn
agonising,-3,afinn
agonize,-3,afinn
agonized,-3,afinn
agonizes,-3,afinn
agonizing,-3,afinn
agree,1,afinn
agreeable,2,afinn
agreed,1,afinn
agreement,1,afinn
agrees,1,afinn
alarm,-2,afinn
alarmed,-2,afinn
alarmist,-2,afinn
alarmists,-2,afinn
alas,-1,afinn
alert,-1,afinn
alienation,-2,afinn
alive,1,afinn
allergic,-2,afinn
allow,1,afinn
alone,-2,afinn
amaze,2,afinn
amazed,2,afinn
amazes,2,afinn
amazing,4,afinn
ambitious,2,afinn
ambivalent,-1,afinn
amuse,3,afinn
amused,3,afinn
amusement,3,afinn
amusements,3,afinn
anger,-3,afinn
angers,-3,afinn
angry,-3,afinn
anguish,-3,afinn
anguished,-3,afinn
animosity,-2,afinn
annoy,-2,afinn
annoyance,-2,afinn
annoyed,-2,afinn
annoying,-2,afinn
annoys,-2,afinn
antagonistic,-2,afinn
anti,-1,afinn
anticipation,1,afinn
anxiety,-2,afinn
anxious,-2,afinn
apathetic,-3,afinn
apathy,-3,afinn
apeshit,-3,afinn
apocalyptic,-2,afinn
apologise,-1,afinn
apologised,-1,afinn
apologises,-1,afinn
apologising,-1,afinn
apologize,-1,afinn
apologized,-1,afinn
apologizes,-1,afinn
apologizing,-1,afinn
apology,-1,afinn
appalled,-2,afinn
appalling,-2,afinn
appease,2,afinn
appeased,2,afinn
appeases,2,afinn
appeasing,2,afinn
applaud,2,afinn
applauded,2,afinn
applauding,2,afinn
applauds,2,afinn
applause,2,afinn
appreciate,2,afinn
appreciated,2,afinn
appreciates,2,afinn
appreciating,2,afinn
appreciation,2,afinn
apprehensive,-2,afinn
approval,2,afinn
approved,2,afinn
approves,2,afinn
ardent,1,afinn
arrest,-2,afinn
arrested,-3,afinn
arrests,-2,afinn
arrogant,-2,afinn
ashame,-2,afinn
ashamed,-2,afinn
ass,-4,afinn
assassination,-3,afinn
assassinations,-3,afinn
asset,2,afinn
assets,2,afinn
assfucking,-4,afinn
asshole,-4,afinn
astonished,2,afinn
astound,3,afinn
astounded,3,afinn
astounding,3,afinn
astoundingly,3,afinn
astounds,3,afinn
attack,-1,afinn
attacked,-1,afinn
attacking,-1,afinn
attacks,-1,afinn
attract,1,afinn
attracted,1,afinn
attracting,2,afinn
attraction,2,afinn
attractions,2,afinn
attracts,1,afinn
audacious,3,afinn
authority,1,afinn
avert,-1,afinn
averted,-1,afinn
averts,-1,afinn
avid,2,afinn
avoid,-1,afinn
avoided,-1,afinn
avoids,-1,afinn
await,-1,afinn
awaited,-1,afinn
awaits,-1,afinn
award,3,afinn
awarded,3,afinn
awards,3,afinn
awesome,4,afinn
awful,-3,afinn
awkward,-2,afinn
axe,-1,afinn
axed,-1,afinn
backed,1,afinn
backing,2,afinn
backs,1,afinn
bad,-3,afinn
badass,-3,afinn
badly,-3,afinn
bailout,-2,afinn
bamboozle,-2,afinn
bamboozled,-2,afinn
bamboozles,-2,afinn
ban,-2,afinn
banish,-1,afinn
bankrupt,-3,afinn
bankster,-3,afinn
banned,-2,afinn
bargain,2,afinn
barrier,-2,afinn
bastard,-5,afinn
bastards,-5,afinn
battle,-1,afinn
battles,-1,afinn
beaten,-2,afinn
beatific,3,afinn
beating,-1,afinn
beauties,3,afinn
beautiful,3,afinn
beautifully,3,afinn
beautify,3,afinn
belittle,-2,afinn
belittled,-2,afinn
beloved,3,afinn
benefit,2,afinn
benefits,2,afinn
benefitted,2,afinn
benefitting,2,afinn
bereave,-2,afinn
bereaved,-2,afinn
bereaves,-2,afinn
bereaving,-2,afinn
best,3,afinn
betray,-3,afinn
betrayal,-3,afinn
betrayed,-3,afinn
betraying,-3,afinn
betrays,-3,afinn
better,2,afinn
bias,-1,afinn
biased,-2,afinn
big,1,afinn
bitch,-5,afinn
bitches,-5,afinn
bitter,-2,afinn
bitterly,-2,afinn
bizarre,-2,afinn
blah,-2,afinn
blame,-2,afinn
blamed,-2,afinn
blames,-2,afinn
blaming,-2,afinn
bless,2,afinn
blesses,2,afinn
blessing,3,afinn
blind,-1,afinn
bliss,3,afinn
blissful,3,afinn
blithe,2,afinn
block,-1,afinn
blockbuster,3,afinn
blocked,-1,afinn
blocking,-1,afinn
blocks,-1,afinn
bloody,-3,afinn
blurry,-2,afinn
boastful,-2,afinn
bold,2,afinn
boldly,2,afinn
bomb,-1,afinn
boost,1,afinn
boosted,1,afinn
boosting,1,afinn
boosts,1,afinn
bore,-2,afinn
bored,-2,afinn
boring,-3,afinn
bother,-2,afinn
bothered,-2,afinn
bothers,-2,afinn
bothersome,-2,afinn
boycott,-2,afinn
boycotted,-2,afinn
boycotting,-2,afinn
boycotts,-2,afinn
brainwashing,-3,afinn
brave,2,afinn
breakthrough,3,afinn
breathtaking,5,afinn
bribe,-3,afinn
bright,1,afinn
brightest,2,afinn
brightness,1,afinn
brilliant,4,afinn
brisk,2,afinn
broke,-1,afinn
broken,-1,afinn
brooding,-2,afinn
bullied,-2,afinn
bullshit,-4,afinn
bully,-2,afinn
bullying,-2,afinn
bummer,-2,afinn
buoyant,2,afinn
burden,-2,afinn
burdened,-2,afinn
burdening,-2,afinn
burdens,-2,afinn
calm,2,afinn
calmed,2,afinn
calming,2,afinn
calms,2,afinn
can't stand,-3,afinn
cancel,-1,afinn
cancelled,-1,afinn
cancelling,-1,afinn
cancels,-1,afinn
cancer,-1,afinn
capable,1,afinn
captivated,3,afinn
care,2,afinn
carefree,1,afinn
careful,2,afinn
carefully,2,afinn
careless,-2,afinn
cares,2,afinn
cashing in,-2,afinn
casualty,-2,afinn
catastrophe,-3,afinn
catastrophic,-4,afinn
cautious,-1,afinn
celebrate,3,afinn
celebrated,3,afinn
celebrates,3,afinn
celebrating,3,afinn
censor,-2,afinn
censored,-2,afinn
censors,-2,afinn
certain,1,afinn
chagrin,-2,afinn
chagrined,-2,afinn
challenge,-1,afinn
chance,2,afinn
chances,2,afinn
chaos,-2,afinn
chaotic,-2,afinn
charged,-3,afinn
charges,-2,afinn
charm,3,afinn
charming,3,afinn
charmless,-3,afinn
chastise,-3,afinn
chastised,-3,afinn
chastises,-3,afinn
chastising,-3,afinn
cheat,-3,afinn
cheated,-3,afinn
cheater,-3,afinn
cheaters,-3,afinn
cheats,-3,afinn
cheer,2,afinn
cheered,2,afinn
cheerful,2,afinn
cheering,2,afinn
cheerless,-2,afinn
cheers,2,afinn
cheery,3,afinn
cherish,2,afinn
cherished,2,afinn
cherishes,2,afinn
cherishing,2,afinn
chic,2,afinn
childish,-2,afinn
chilling,-1,afinn
choke,-2,afinn
choked,-2,afinn
chokes,-2,afinn
choking,-2,afinn
clarifies,2,afinn
clarity,2,afinn
clash,-2,afinn
classy,3,afinn
clean,2,afinn
cleaner,2,afinn
clear,1,afinn
cleared,1,afinn
clearly,1,afinn
clears,1,afinn
clever,2,afinn
clouded,-1,afinn
clueless,-2,afinn
cock,-5,afinn
cocksucker,-5,afinn
cocksuckers,-5,afinn
cocky,-2,afinn
coerced,-2,afinn
collapse,-2,afinn
collapsed,-2,afinn
collapses,-2,afinn
collapsing,-2,afinn
collide,-1,afinn
collides,-1,afinn
colliding,-1,afinn
collision,-2,afinn
collisions,-2,afinn
colluding,-3,afinn
combat,-1,afinn
combats,-1,afinn
comedy,1,afinn
comfort,2,afinn
comfortable,2,afinn
comforting,2,afinn
comforts,2,afinn
commend,2,afinn
commended,2,afinn
commit,1,afinn
commitment,2,afinn
commits,1,afinn
committed,1,afinn
committing,1,afinn
compassionate,2,afinn
compelled,1,afinn
competent,2,afinn
competitive,2,afinn
complacent,-2,afinn
complain,-2,afinn
complained,-2,afinn
complains,-2,afinn
comprehensive,2,afinn
conciliate,2,afinn
conciliated,2,afinn
conciliates,2,afinn
conciliating,2,afinn
condemn,-2,afinn
condemnation,-2,afinn
condemned,-2,afinn
condemns,-2,afinn
confidence,2,afinn
confident,2,afinn
conflict,-2,afinn
conflicting,-2,afinn
conflictive,-2,afinn
conflicts,-2,afinn
confuse,-2,afinn
confused,-2,afinn
confusing,-2,afinn
congrats,2,afinn
congratulate,2,afinn
congratulation,2,afinn
congratulations,2,afinn
consent,2,afinn
consents,2,afinn
consolable,2,afinn
conspiracy,-3,afinn
constrained,-2,afinn
contagion,-2,afinn
contagions,-2,afinn
contagious,-1,afinn
contempt,-2,afinn
contemptuous,-2,afinn
contemptuously,-2,afinn
contend,-1,afinn
contender,-1,afinn
contending,-1,afinn
contentious,-2,afinn
contestable,-2,afinn
controversial,-2,afinn
controversially,-2,afinn
convince,1,afinn
convinced,1,afinn
convinces,1,afinn
convivial,2,afinn
cool,1,afinn
cool stuff,3,afinn
cornered,-2,afinn
corpse,-1,afinn
costly,-2,afinn
courage,2,afinn
courageous,2,afinn
courteous,2,afinn
courtesy,2,afinn
cover-up,-3,afinn
coward,-2,afinn
cowardly,-2,afinn
coziness,2,afinn
cramp,-1,afinn
crap,-3,afinn
crash,-2,afinn
crazier,-2,afinn
craziest,-2,afinn
crazy,-2,afinn
creative,2,afinn
crestfallen,-2,afinn
cried,-2,afinn
cries,-2,afinn
crime,-3,afinn
criminal,-3,afinn
criminals,-3,afinn
crisis,-3,afinn
critic,-2,afinn
criticism,-2,afinn
criticize,-2,afinn
criticized,-2,afinn
criticizes,-2,afinn
criticizing,-2,afinn
critics,-2,afinn
cruel,-3,afinn
cruelty,-3,afinn
crush,-1,afinn
crushed,-2,afinn
crushes,-1,afinn
crushing,-1,afinn
cry,-1,afinn
crying,-2,afinn
cunt,-5,afinn
curious,1,afinn
curse,-1,afinn
cut,-1,afinn
cute,2,afinn
cuts,-1,afinn
cutting,-1,afinn
cynic,-2,afinn
cynical,-2,afinn
cynicism,-2,afinn
damage,-3,afinn
damages,-3,afinn
damn,-4,afinn
damned,-4,afinn
damnit,-4,afinn
danger,-2,afinn
daredevil,2,afinn
daring,2,afinn
darkest,-2,afinn
darkness,-1,afinn
dauntless,2,afinn
dead,-3,afinn
deadlock,-2,afinn
deafening,-1,afinn
dear,2,afinn
dearly,3,afinn
death,-2,afinn
debonair,2,afinn
debt,-2,afinn
deceit,-3,afinn
deceitful,-3,afinn
deceive,-3,afinn
deceived,-3,afinn
deceives,-3,afinn
deceiving,-3,afinn
deception,-3,afinn
decisive,1,afinn
dedicated,2,afinn
defeated,-2,afinn
defect,-3,afinn
defects,-3,afinn
defender,2,afinn
defenders,2,afinn
defenseless,-2,afinn
defer,-1,afinn
deferring,-1,afinn
defiant,-1,afinn
deficit,-2,afinn
degrade,-2,afinn
degraded,-2,afinn
degrades,-2,afinn
dehumanize,-2,afinn
dehumanized,-2,afinn
dehumanizes,-2,afinn
dehumanizing,-2,afinn
deject,-2,afinn
dejected,-2,afinn
dejecting,-2,afinn
dejects,-2,afinn
delay,-1,afinn
delayed,-1,afinn
delight,3,afinn
delighted,3,afinn
delighting,3,afinn
delights,3,afinn
demand,-1,afinn
demanded,-1,afinn
demanding,-1,afinn
demands,-1,afinn
demonstration,-1,afinn
demoralized,-2,afinn
denied,-2,afinn
denier,-2,afinn
deniers,-2,afinn
denies,-2,afinn
denounce,-2,afinn
denounces,-2,afinn
deny,-2,afinn
denying,-2,afinn
depressed,-2,afinn
depressing,-2,afinn
derail,-2,afinn
derailed,-2,afinn
derails,-2,afinn
deride,-2,afinn
derided,-2,afinn
derides,-2,afinn
deriding,-2,afinn
derision,-2,afinn
desirable,2,afinn
desire,1,afinn
desired,2,afinn
desirous,2,afinn
despair,-3,afinn
despairing,-3,afinn
despairs,-3,afinn
desperate,-3,afinn
desperately,-3,afinn
despondent,-3,afinn
destroy,-3,afinn
destroyed,-3,afinn
destroying,-3,afinn
destroys,-3,afinn
destruction,-3,afinn
destructive,-3,afinn
detached,-1,afinn
detain,-2,afinn
detained,-2,afinn
detention,-2,afinn
determined,2,afinn
devastate,-2,afinn
devastated,-2,afinn
devastating,-2,afinn
devoted,3,afinn
diamond,1,afinn
dick,-4,afinn
dickhead,-4,afinn
die,-3,afinn
died,-3,afinn
difficult,-1,afinn
diffident,-2,afinn
dilemma,-1,afinn
dipshit,-3,afinn
dire,-3,afinn
direful,-3,afinn
dirt,-2,afinn
dirtier,-2,afinn
dirtiest,-2,afinn
dirty,-2,afinn
disabling,-1,afinn
disadvantage,-2,afinn
disadvantaged,-2,afinn
disappear,-1,afinn
disappeared,-1,afinn
disappears,-1,afinn
disappoint,-2,afinn
disappointed,-2,afinn
disappointing,-2,afinn
disappointment,-2,afinn
disappointments,-2,afinn
disappoints,-2,afinn
disaster,-2,afinn
disasters,-2,afinn
disastrous,-3,afinn
disbelieve,-2,afinn
discard,-1,afinn
discarded,-1,afinn
discarding,-1,afinn
discards,-1,afinn
disconsolate,-2,afinn
disconsolation,-2,afinn
discontented,-2,afinn
discord,-2,afinn
discounted,-1,afinn
discouraged,-2,afinn
discredited,-2,afinn
disdain,-2,afinn
disgrace,-2,afinn
disgraced,-2,afinn
disguise,-1,afinn
disguised,-1,afinn
disguises,-1,afinn
disguising,-1,afinn
disgust,-3,afinn
disgusted,-3,afinn
disgusting,-3,afinn
disheartened,-2,afinn
dishonest,-2,afinn
disillusioned,-2,afinn
disinclined,-2,afinn
disjointed,-2,afinn
dislike,-2,afinn
dismal,-2,afinn
dismayed,-2,afinn
disorder,-2,afinn
disorganized,-2,afinn
disoriented,-2,afinn
disparage,-2,afinn
disparaged,-2,afinn
disparages,-2,afinn
disparaging,-2,afinn
displeased,-2,afinn
dispute,-2,afinn
disputed,-2,afinn
disputes,-2,afinn
disputing,-2,afinn
disqualified,-2,afinn
disquiet,-2,afinn
disregard,-2,afinn
disregarded,-2,afinn
disregarding,-2,afinn
disregards,-2,afinn
disrespect,-2,afinn
disrespected,-2,afinn
disruption,-2,afinn
disruptions,-2,afinn
disruptive,-2,afinn
dissatisfied,-2,afinn
distort,-2,afinn
distorted,-2,afinn
distorting,-2,afinn
distorts,-2,afinn
distract,-2,afinn
distracted,-2,afinn
distraction,-2,afinn
distracts,-2,afinn
distress,-2,afinn
distressed,-2,afinn
distresses,-2,afinn
distressing,-2,afinn
distrust,-3,afinn
distrustful,-3,afinn
disturb,-2,afinn
disturbed,-2,afinn
disturbing,-2,afinn
disturbs,-2,afinn
dithering,-2,afinn
dizzy,-1,afinn
dodging,-2,afinn
dodgy,-2,afinn
does not work,-3,afinn
dolorous,-2,afinn
dont like,-2,afinn
doom,-2,afinn
doomed,-2,afinn
doubt,-1,afinn
doubted,-1,afinn
doubtful,-1,afinn
doubting,-1,afinn
doubts,-1,afinn
douche,-3,afinn
douchebag,-3,afinn
downcast,-2,afinn
downhearted,-2,afinn
downside,-2,afinn
drag,-1,afinn
dragged,-1,afinn
drags,-1,afinn
drained,-2,afinn
dread,-2,afinn
dreaded,-2,afinn
dreadful,-3,afinn
dreading,-2,afinn
dream,1,afinn
dreams,1,afinn
dreary,-2,afinn
droopy,-2,afinn
drop,-1,afinn
drown,-2,afinn
drowned,-2,afinn
drowns,-2,afinn
drunk,-2,afinn
dubious,-2,afinn
dud,-2,afinn
dull,-2,afinn
dumb,-3,afinn
dumbass,-3,afinn
dump,-1,afinn
dumped,-2,afinn
dumps,-1,afinn
dupe,-2,afinn
duped,-2,afinn
dysfunction,-2,afinn
eager,2,afinn
earnest,2,afinn
ease,2,afinn
easy,1,afinn
ecstatic,4,afinn
eerie,-2,afinn
eery,-2,afinn
effective,2,afinn
effectively,2,afinn
elated,3,afinn
elation,3,afinn
elegant,2,afinn
elegantly,2,afinn
embarrass,-2,afinn
embarrassed,-2,afinn
embarrasses,-2,afinn
embarrassing,-2,afinn
embarrassment,-2,afinn
embittered,-2,afinn
embrace,1,afinn
emergency,-2,afinn
empathetic,2,afinn
emptiness,-1,afinn
empty,-1,afinn
enchanted,2,afinn
encourage,2,afinn
encouraged,2,afinn
encouragement,2,afinn
encourages,2,afinn
endorse,2,afinn
endorsed,2,afinn
endorsement,2,afinn
endorses,2,afinn
enemies,-2,afinn
enemy,-2,afinn
energetic,2,afinn
engage,1,afinn
engages,1,afinn
engrossed,1,afinn
enjoy,2,afinn
enjoying,2,afinn
enjoys,2,afinn
enlighten,2,afinn
enlightened,2,afinn
enlightening,2,afinn
enlightens,2,afinn
ennui,-2,afinn
enrage,-2,afinn
enraged,-2,afinn
enrages,-2,afinn
enraging,-2,afinn
enrapture,3,afinn
enslave,-2,afinn
enslaved,-2,afinn
enslaves,-2,afinn
ensure,1,afinn
ensuring,1,afinn
enterprising,1,afinn
entertaining,2,afinn
enthral,3,afinn
enthusiastic,3,afinn
entitled,1,afinn
entrusted,2,afinn
envies,-1,afinn
envious,-2,afinn
envy,-1,afinn
envying,-1,afinn
erroneous,-2,afinn
error,-2,afinn
errors,-2,afinn
escape,-1,afinn
escapes,-1,afinn
escaping,-1,afinn
esteemed,2,afinn
ethical,2,afinn
euphoria,3,afinn
euphoric,4,afinn
eviction,-1,afinn
evil,-3,afinn
exaggerate,-2,afinn
exaggerated,-2,afinn
exaggerates,-2,afinn
exaggerating,-2,afinn
exasperated,2,afinn
excellence,3,afinn
excellent,3,afinn
excite,3,afinn
excited,3,afinn
excitement,3,afinn
exciting,3,afinn
exclude,-1,afinn
excluded,-2,afinn
exclusion,-1,afinn
exclusive,2,afinn
excuse,-1,afinn
exempt,-1,afinn
exhausted,-2,afinn
exhilarated,3,afinn
exhilarates,3,afinn
exhilarating,3,afinn
exonerate,2,afinn
exonerated,2,afinn
exonerates,2,afinn
exonerating,2,afinn
expand,1,afinn
expands,1,afinn
expel,-2,afinn
expelled,-2,afinn
expelling,-2,afinn
expels,-2,afinn
exploit,-2,afinn
exploited,-2,afinn
exploiting,-2,afinn
exploits,-2,afinn
exploration,1,afinn
explorations,1,afinn
expose,-1,afinn
exposed,-1,afinn
exposes,-1,afinn
exposing,-1,afinn
extend,1,afinn
extends,1,afinn
exuberant,4,afinn
exultant,3,afinn
exultantly,3,afinn
fabulous,4,afinn
fad,-2,afinn
fag,-3,afinn
faggot,-3,afinn
faggots,-3,afinn
fail,-2,afinn
failed,-2,afinn
failing,-2,afinn
fails,-2,afinn
failure,-2,afinn
failures,-2,afinn
fainthearted,-2,afinn
fair,2,afinn
faith,1,afinn
faithful,3,afinn
fake,-3,afinn
fakes,-3,afinn
faking,-3,afinn
fallen,-2,afinn
falling,-1,afinn
falsified,-3,afinn
falsify,-3,afinn
fame,1,afinn
fan,3,afinn
fantastic,4,afinn
farce,-1,afinn
fascinate,3,afinn
fascinated,3,afinn
fascinates,3,afinn
fascinating,3,afinn
fascist,-2,afinn
fascists,-2,afinn
fatalities,-3,afinn
fatality,-3,afinn
fatigue,-2,afinn
fatigued,-2,afinn
fatigues,-2,afinn
fatiguing,-2,afinn
favor,2,afinn
favored,2,afinn
favorite,2,afinn
favorited,2,afinn
favorites,2,afinn
favors,2,afinn
fear,-2,afinn
fearful,-2,afinn
fearing,-2,afinn
fearless,2,afinn
fearsome,-2,afinn
fed up,-3,afinn
feeble,-2,afinn
feeling,1,afinn
felonies,-3,afinn
felony,-3,afinn
fervent,2,afinn
fervid,2,afinn
festive,2,afinn
fiasco,-3,afinn
fidgety,-2,afinn
fight,-1,afinn
fine,2,afinn
fire,-2,afinn
fired,-2,afinn
firing,-2,afinn
fit,1,afinn
fitness,1,afinn
flagship,2,afinn
flees,-1,afinn
flop,-2,afinn
flops,-2,afinn
flu,-2,afinn
flustered,-2,afinn
focused,2,afinn
fond,2,afinn
fondness,2,afinn
fool,-2,afinn
foolish,-2,afinn
fools,-2,afinn
forced,-1,afinn
foreclosure,-2,afinn
foreclosures,-2,afinn
forget,-1,afinn
forgetful,-2,afinn
forgive,1,afinn
forgiving,1,afinn
forgotten,-1,afinn
fortunate,2,afinn
frantic,-1,afinn
fraud,-4,afinn
frauds,-4,afinn
fraudster,-4,afinn
fraudsters,-4,afinn
fraudulence,-4,afinn
fraudulent,-4,afinn
free,1,afinn
freedom,2,afinn
frenzy,-3,afinn
fresh,1,afinn
friendly,2,afinn
fright,-2,afinn
frightened,-2,afinn
frightening,-3,afinn
frikin,-2,afinn
frisky,2,afinn
frowning,-1,afinn
frustrate,-2,afinn
frustrated,-2,afinn
frustrates,-2,afinn
frustrating,-2,afinn
frustration,-2,afinn
ftw,3,afinn
fuck,-4,afinn
fucked,-4,afinn
fucker,-4,afinn
fuckers,-4,afinn
fuckface,-4,afinn
fuckhead,-4,afinn
fucking,-4,afinn
fucktard,-4,afinn
fud,-3,afinn
fuked,-4,afinn
fuking,-4,afinn
fulfill,2,afinn
fulfilled,2,afinn
fulfills,2,afinn
fuming,-2,afinn
fun,4,afinn
funeral,-1,afinn
funerals,-1,afinn
funky,2,afinn
funnier,4,afinn
funny,4,afinn
furious,-3,afinn
futile,2,afinn
gag,-2,afinn
gagged,-2,afinn
gain,2,afinn
gained,2,afinn
gaining,2,afinn
gains,2,afinn
gallant,3,afinn
gallantly,3,afinn
gallantry,3,afinn
generous,2,afinn
genial,3,afinn
ghost,-1,afinn
giddy,-2,afinn
gift,2,afinn
glad,3,afinn
glamorous,3,afinn
glamourous,3,afinn
glee,3,afinn
gleeful,3,afinn
gloom,-1,afinn
gloomy,-2,afinn
glorious,2,afinn
glory,2,afinn
glum,-2,afinn
god,1,afinn
goddamn,-3,afinn
godsend,4,afinn
good,3,afinn
goodness,3,afinn
grace,1,afinn
gracious,3,afinn
grand,3,afinn
grant,1,afinn
granted,1,afinn
granting,1,afinn
grants,1,afinn
grateful,3,afinn
gratification,2,afinn
grave,-2,afinn
gray,-1,afinn
great,3,afinn
greater,3,afinn
greatest,3,afinn
greed,-3,afinn
greedy,-2,afinn
green wash,-3,afinn
green washing,-3,afinn
greenwash,-3,afinn
greenwasher,-3,afinn
greenwashers,-3,afinn
greenwashing,-3,afinn
greet,1,afinn
greeted,1,afinn
greeting,1,afinn
greetings,2,afinn
greets,1,afinn
grey,-1,afinn
grief,-2,afinn
grieved,-2,afinn
gross,-2,afinn
growing,1,afinn
growth,2,afinn
guarantee,1,afinn
guilt,-3,afinn
guilty,-3,afinn
gullibility,-2,afinn
gullible,-2,afinn
gun,-1,afinn
ha,2,afinn
hacked,-1,afinn
haha,3,afinn
hahaha,3,afinn
hahahah,3,afinn
hail,2,afinn
hailed,2,afinn
hapless,-2,afinn
haplessness,-2,afinn
happiness,3,afinn
happy,3,afinn
hard,-1,afinn
hardier,2,afinn
hardship,-2,afinn
hardy,2,afinn
harm,-2,afinn
harmed,-2,afinn
harmful,-2,afinn
harming,-2,afinn
harms,-2,afinn
harried,-2,afinn
harsh,-2,afinn
harsher,-2,afinn
harshest,-2,afinn
hate,-3,afinn
hated,-3,afinn
haters,-3,afinn
hates,-3,afinn
hating,-3,afinn
haunt,-1,afinn
haunted,-2,afinn
haunting,1,afinn
haunts,-1,afinn
havoc,-2,afinn
healthy,2,afinn
heartbreaking,-3,afinn
heartbroken,-3,afinn
heartfelt,3,afinn
heaven,2,afinn
heavenly,4,afinn
heavyhearted,-2,afinn
hell,-4,afinn
help,2,afinn
helpful,2,afinn
helping,2,afinn
helpless,-2,afinn
helps,2,afinn
hero,2,afinn
heroes,2,afinn
heroic,3,afinn
hesitant,-2,afinn
hesitate,-2,afinn
hid,-1,afinn
hide,-1,afinn
hides,-1,afinn
hiding,-1,afinn
highlight,2,afinn
hilarious,2,afinn
hindrance,-2,afinn
hoax,-2,afinn
homesick,-2,afinn
honest,2,afinn
honor,2,afinn
honored,2,afinn
honoring,2,afinn
honour,2,afinn
honoured,2,afinn
honouring,2,afinn
hooligan,-2,afinn
hooliganism,-2,afinn
hooligans,-2,afinn
hope,2,afinn
hopeful,2,afinn
hopefully,2,afinn
hopeless,-2,afinn
hopelessness,-2,afinn
hopes,2,afinn
hoping,2,afinn
horrendous,-3,afinn
horrible,-3,afinn
horrific,-3,afinn
horrified,-3,afinn
hostile,-2,afinn
huckster,-2,afinn
hug,2,afinn
huge,1,afinn
hugs,2,afinn
humerous,3,afinn
humiliated,-3,afinn
humiliation,-3,afinn
humor,2,afinn
humorous,2,afinn
humour,2,afinn
humourous,2,afinn
hunger,-2,afinn
hurrah,5,afinn
hurt,-2,afinn
hurting,-2,afinn
hurts,-2,afinn
hypocritical,-2,afinn
hysteria,-3,afinn
hysterical,-3,afinn
hysterics,-3,afinn
idiot,-3,afinn
idiotic,-3,afinn
ignorance,-2,afinn
ignorant,-2,afinn
ignore,-1,afinn
ignored,-2,afinn
ignores,-1,afinn
